level,name_base,name_prefix,name_suffix,name_full,name_short,organiser,organiser_name,clubs,entry,stages,qualification_spots,qualification_byes_format,tier_1_byes,tier_1_byes_format,tier_1_bye_entry_format,tier_1_entry_format,tier_1_intermediate,tier_1_qualifying_third,tier_1_qualifying_second,tier_1_qualifying_first,tier_1_qualifying_preliminary,tier_2_byes,tier_2_byes_format,tier_2_bye_entry_format,tier_2_entry_format,tier_2_intermediate,tier_2_qualifying_sixth,tier_2_qualifying_fifth,tier_2_qualifying_fourth,tier_2_qualifying_third,tier_2_qualifying_second,tier_2_qualifying_first,tier_2_qualifying_preliminary,amateur_cup_byes,amateur_cup_bye_entry_format,non_association_byes,non_association_bye_entry_format,non_association_other_byes,non_association_other_bye_entry_format,invite_byes,invite_bye_entry_format,format_start,format_end,type,quality,gender,victory,draw,loss,points_tiebreaker,match_system,uneven_team_system,draw_system,replay_venue,add_replay_venue,extra_time,previous_winner,home_and_away,venue_system,venue_semis,venue_finals,video_referee,promotion_teams,promotion_system,relegation_teams,relegation_system
1,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 1st Division,1st Division,<sport name> league,Football League,16,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1897,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,2,test matches
2,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 2nd Division,2nd Division,<sport name> league,Football League,16,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1897,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,2,test matches,3,election
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,9,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1895,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,10,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,1896,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,division,<area> <sport name>  league|,<tier number>,Northern Football League Division One,Division One,<area> <sport name> league,Northern Football League,9,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897,1897,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
2,division,<area> <sport name>  league|,<tier number>,Northern Football League Division Two,Division Two,<area> <sport name> league,Northern Football League,7,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897,1897,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 1st Division,1st Division,<sport name> league,Football League,18,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1904,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,2,relegation
2,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 2nd Division,2nd Division,<sport name> league,Football League,18,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1904,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,2,promotion,3,election
1,division,<area> <sport name>  league|,<tier number>,Northern Football League Division One,Division One,<area> <sport name> league,Northern Football League,9,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1899,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
2,division,<area> <sport name>  league|,<tier number>,Northern Football League Division Two,Division Two,<area> <sport name> league,Northern Football League,10,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1899,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,11,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1900,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,10,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1901,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,13,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,1904,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,14,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1905,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 1st Division,1st Division,<sport name> league,Football League,20,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1913,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,2,relegation
2,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 2nd Division,2nd Division,<sport name> league,Football League,20,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1907,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,2,promotion,3,election
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,12,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906,1912,league,amateur,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
2,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 2nd Division,2nd Division,<sport name> league,Football League,20,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,1913,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,2,promotion,2,election
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,13,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,1914,league,amateur,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 1st Division,1st Division,<sport name> league,Football League,20,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1914,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,1,relegation
2,division,<sport name> league <tier cardinal>|<tier cardinal>,,Football League 2nd Division,2nd Division,<sport name> league,Football League,20,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1914,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,3,promotion,2,election
