format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,semis_format,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format,,,,,,,,,,,,,,,,
1939,1939,Ice Hockey,league,1,Scottish National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,geography,professional,quintuple_round_robin,home_and_away_and_first_drawn_preference,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1939,1939,Ice Hockey,cup,1,Scottish Cup,four_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,best_losers_playoff_then_single_elimination,first_drawn_preference,neutral,neutral,none,none,two_legs,replay,none,two_legs,two_legs,replay,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1939,1939,Ice Hockey,cup,1,Simpson Trophy,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,none,two_legs,replay,none,two_legs,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1939,1939,Ice Hockey,cup,1,Coronation Cup,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1947,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,sextuple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,cup,1,English National Tournament,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,4,4,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,cup,1,English Autumn Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,4,4,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,league,1,Scottish National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,quadruple_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,two_legs,two_legs,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,cup,1,Scottish League Flag Competition,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,cup,1,Canada Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1946,1946,Ice Hockey,cup,1,Simpson Trophy,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,gf_ga_percentage,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,cup,1,English National Tournament,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,cup,1,English Autumn Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,league,1,Scottish National League,equal_divisions,none,Eastern Section,British Ice Hockey Association,British Ice Hockey Association,4,4,0,geography,professional,nonuple_round_robin,home_and_away_and_first_drawn_preference,none,none,top_two_of_section,none,single_leg,none,none,single_leg,two_legs,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,league,1,Scottish National League,equal_divisions,none,Western Section,British Ice Hockey Association,British Ice Hockey Association,4,4,0,geography,professional,nonuple_round_robin,home_and_away_and_first_drawn_preference,none,none,top_two_of_section,none,single_leg,none,none,single_leg,two_legs,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,cup,1,Scottish Cup,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,none,two_legs,none,none,two_legs,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,cup,1,Simpson Trophy,two_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,4,4,0,league_divisions_top_two,professional,single_elimination,first_drawn_preference,neutral,neutral,none,none,two_legs,none,none,two_legs,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1947,1947,Ice Hockey,cup,1,Canada Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1948,1948,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,geography,professional,quadruple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1948,1948,Ice Hockey,cup,1,English Autumn Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,league_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1948,1948,Ice Hockey,cup,1,English International Tournament,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,league_membership_and_french_teams,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
